bank_ref,voucher_no,match_type
BR000859,JV002738,one_to_one
BR000860,JV002724,one_to_one
BR000861,JV002732,one_to_one
BR000862,JV002737,one_to_one
BR000863,JV002755,one_to_one
BR000864,JV002765,one_to_one
BR000865,JV002743,one_to_one
BR000866,JV002767,one_to_one
BR000867,JV002781,one_to_one
BR000868,JV002748,one_to_one
BR000869,JV002771,one_to_one
BR000870,JV002751,one_to_one
BR000871,JV002754,one_to_one
BR000872,JV002757,one_to_one
BR000873,JV002746,one_to_one
BR000874,JV002747,one_to_one
BR000875,JV002785,one_to_one
BR000876,JV002782,one_to_one
BR000877,JV002791,one_to_one
BR000878,JV002768,one_to_one
BR000879,JV002780,one_to_one
BR000880,JV002798,one_to_one
BR000881,JV002774,one_to_one
BR000882,JV002801,one_to_one
BR000883,JV002810,one_to_one
BR000884,JV002799,one_to_one
BR000885,JV002819,one_to_one
BR000886,JV002760,one_to_one
BR000887,JV002769,one_to_one
BR000888,JV002840,one_to_one
BR000889,JV002806,one_to_one
BR000890,JV002827,one_to_one
BR000891,JV002813,one_to_one
BR000892,JV002845,one_to_one
BR000893,JV002832,one_to_one
BR000894,JV002811,one_to_one
BR000895,JV002797,one_to_one
BR000896,JV002838,one_to_one
BR000897,JV002841,one_to_one
BR000898,JV002833,one_to_one
BR000899,JV002836,one_to_one
BR000900,JV002839,one_to_one
BR000901,JV002864,one_to_one
BR000902,JV002854,one_to_one
BR000903,JV002857,one_to_one
BR000904,JV002859,one_to_one
BR000905,JV002852,one_to_one
BR000906,JV002837,one_to_one
BR000907,JV002877,one_to_one
BR000908,JV002861,one_to_one
BR000909,JV002887,one_to_one
BR000910,JV002855,one_to_one
BR000911,JV002899,one_to_one
BR000912,JV002878,one_to_one
BR000913,JV002897,one_to_one
BR000914,JV002879,one_to_one
BR000915,JV002885,one_to_one
BR000916,JV002884,one_to_one
BR000917,JV002875,one_to_one
BR000918,JV002933,one_to_one
BR000919,JV002886,one_to_one
BR000920,JV002882,one_to_one
BR000921,JV002923,one_to_one
BR000922,JV002907,one_to_one
BR000923,JV002948,one_to_one
BR000924,JV002924,one_to_one
BR000925,JV002932,one_to_one
BR000926,JV002931,one_to_one
BR000927,JV002943,one_to_one
BR000928,JV002881,one_to_one
BR000929,JV002898,one_to_one
BR000930,JV002919,one_to_one
BR000931,JV002965,one_to_one
BR000932,JV002908,one_to_one
BR000933,JV002969,one_to_one
BR000934,JV002972,one_to_one
BR000935,JV002977,one_to_one
BR000936,JV002966,one_to_one
BR000937,JV002974,one_to_one
BR000938,JV002967,one_to_one
BR000939,JV002953,one_to_one
BR000940,JV002958,one_to_one
BR000941,JV003004,one_to_one
BR000942,JV002990,one_to_one
BR000943,JV003012,one_to_one
BR000944,JV003020,one_to_one
BR000945,JV002982,one_to_one
BR000946,JV002991,one_to_one
BR000947,JV003005,one_to_one
BR000948,JV002985,one_to_one
BR000949,JV003001,one_to_one
BR000950,JV003032,one_to_one
BR000951,JV003046,one_to_one
BR000952,JV002988,one_to_one
BR000953,JV003044,one_to_one
BR000954,JV003028,one_to_one
BR000955,JV003042,one_to_one
BR000956,JV003031,one_to_one
BR000957,JV003050,one_to_one
BR000958,JV003033,one_to_one
BR000959,JV003009,one_to_one
BR000960,JV003052,one_to_one
BR000961,JV003056,one_to_one
BR000962,JV003078,one_to_one
BR000963,JV003060,one_to_one
BR000964,JV003102,one_to_one
BR000965,JV003096,one_to_one
BR000966,JV003077,one_to_one
BR000967,JV003084,one_to_one
BR000968,JV003106,one_to_one
BR000969,JV003108,one_to_one
BR000970,JV003074,one_to_one
BR000971,JV003085,one_to_one
BR000972,JV003097,one_to_one
BR000973,JV003072,one_to_one
BR000974,JV003083,one_to_one
BR000975,JV003103,amount_difference
BR000976,JV003087,one_to_one
BR000977,JV003104,one_to_one
BR000978,JV003037,one_to_one
BR000979,JV003101,one_to_one
BR000980,JV003082,one_to_one
BR000981,JV003107,one_to_one
BR000982,JV003100,one_to_one
BR000983,JV003091,one_to_one
BR000984,JV003095,one_to_one
BR000985,JV003115,one_to_one
BR000986,JV003109,one_to_one
BR000987,JV003051,one_to_one
BR000988,JV003130,one_to_one
BR000989,JV003134,one_to_one
BR000990,JV003125,one_to_one
BR000991,JV003133,one_to_one
BR000992,JV003135,one_to_one
BR000993,JV003141,one_to_one
BR000994,JV003150,one_to_one
BR000995,JV003136,one_to_one
BR000996,JV003158,one_to_one
BR000997,JV003119,one_to_one
BR000998,JV003117,one_to_one
BR000999,JV003137,one_to_one
BR001000,JV003139,one_to_one
BR001001,JV003121,one_to_one
BR001002,JV003123,one_to_one
BR001003,JV003156,one_to_one
BR001004,JV003177,one_to_one
BR001005,JV003146,one_to_one
BR001006,JV003173,one_to_one
BR001007,JV003175,one_to_one
BR001008,JV003147,one_to_one
BR001009,JV003143,one_to_one
BR001010,JV003126,one_to_one
BR001011,JV003172,one_to_one
BR001012,JV003174,one_to_one
BR001013,JV003153,one_to_one
BR001014,JV003185,one_to_one
BR001015,JV003182,one_to_one
BR001016,JV003222,one_to_one
BR001017,JV003201,one_to_one
BR001018,JV003155,one_to_one
BR001019,JV003176,one_to_one
BR001020,JV003223,one_to_one
BR001021,JV003221,one_to_one
BR001022,JV003206,one_to_one
BR001023,JV003214,one_to_one
BR001024,JV003204,one_to_one
BR001025,JV003220,one_to_one
BR001026,JV003229,one_to_one
BR001027,JV003244,one_to_one
BR001028,JV003255,one_to_one
BR001029,JV003240,one_to_one
BR001030,JV003225,one_to_one
BR001031,JV003224,one_to_one
BR001032,JV003236,one_to_one
BR001033,JV003288,one_to_one
BR001034,JV003235,one_to_one
BR001035,JV003283,one_to_one
BR001036,JV003263,one_to_one
BR001037,JV003287,one_to_one
BR001038,JV003242,one_to_one
BR001039,JV003298,one_to_one
BR001040,JV003266,one_to_one
BR001041,JV003261,one_to_one
BR001042,JV003271,one_to_one
BR001043,JV003309,one_to_one
BR001044,JV003316,one_to_one
BR001045,JV003312,one_to_one
BR001046,JV003233,one_to_one
BR001047,JV003285,one_to_one
BR001048,JV003310,one_to_one
BR001049,JV003264,one_to_one
BR001050,JV003267,one_to_one
BR001051,JV003294,one_to_one
BR001052,JV003291,one_to_one
BR001053,JV003337,one_to_one
BR001054,JV003290,one_to_one
BR001055,JV003313,one_to_one
BR001056,JV003238,one_to_one
BR001057,JV003323,one_to_one
BR001058,JV003362,one_to_one
BR001059,JV003350,one_to_one
BR001060,JV003368,one_to_one
BR001061,JV003364,one_to_one
BR001062,JV003348,one_to_one
BR001063,JV003334,one_to_one
BR001064,JV003354,one_to_one
BR001065,JV003338,one_to_one
BR001066,JV003321,one_to_one
BR001067,JV003370,one_to_one
BR001068,JV003367,one_to_one
BR001069,JV003352,one_to_one
BR001070,JV003366,one_to_one
BR001071,JV003373,one_to_one
BR001072,JV003378,one_to_one
BR001073,JV003379,one_to_one
BR001074,JV003376,one_to_one
BR001075,JV003406,one_to_one
BR001076,JV003423,one_to_one
BR001077,JV003410,one_to_one
BR001078,JV003400,one_to_one
BR001079,JV003397,one_to_one
BR001080,JV003421,one_to_one
BR001081,JV003415,one_to_one
BR001082,JV003440,one_to_one
BR001083,JV003441,one_to_one
BR001084,JV003418,one_to_one
BR001085,JV003433,one_to_one
BR001086,JV003388,one_to_one
BR001087,JV003435,one_to_one
BR001088,JV003402,one_to_one
BR001089,JV003445,one_to_one
BR001090,JV003470,one_to_one
BR001091,JV003454,one_to_one
BR001092,JV003480,one_to_one
BR001093,JV003485,one_to_one
BR001094,JV003439,one_to_one
BR001095,JV003429,one_to_one
BR001096,JV003459,one_to_one
BR001097,JV003408,one_to_one
BR001098,JV003487,one_to_one
BR001099,JV003431,one_to_one
BR001100,JV003486,one_to_one
BR001101,JV003455,one_to_one
BR001102,JV003474,one_to_one
BR001103,JV003490,one_to_one
BR001104,JV003489,one_to_one
BR001105,JV003499,one_to_one
BR001106,JV003478,one_to_one
BR001107,JV003515,one_to_one
BR001108,JV003509,one_to_one
BR001109,JV003508,one_to_one
BR001110,JV003528,one_to_one
BR001111,JV003500,one_to_one
BR001112,JV003501,one_to_one
BR001113,JV003517,one_to_one
BR001114,JV003498,one_to_one
BR001115,JV003512,one_to_one
BR001116,JV003511,one_to_one
BR001117,JV003492,one_to_one
BR001118,JV003553,one_to_one
BR001119,JV003540,one_to_one
BR001120,JV003527,one_to_one
BR001121,JV003513,one_to_one
BR001122,JV003576,one_to_one
BR001123,JV003547,one_to_one
BR001124,JV003556,one_to_one
BR001125,JV003578,one_to_one
BR001126,JV003559,one_to_one
BR001127,JV003519,one_to_one
BR001128,JV003522,one_to_one
BR001129,JV003555,one_to_one
BR001130,JV003557,one_to_one
BR001131,JV003600,one_to_one
BR001132,JV003577,one_to_one
BR001133,JV003558,one_to_one
BR001134,JV003589,one_to_one
BR001135,JV003596,one_to_one
BR001136,JV003573,one_to_one
BR001137,JV003571,one_to_one
BR001138,JV003595,one_to_one
BR001139,JV003543,one_to_one
BR001140,JV003583,one_to_one
BR001141,JV003585,one_to_one
BR001142,JV003579,one_to_one
BR001143,JV003541,one_to_one
BR001144,JV003603,one_to_one
BR001145,JV003630,one_to_one
BR001146,JV003620,one_to_one
BR001147,JV003609,one_to_one
BR001148,JV003649,one_to_one
BR001149,JV003615,one_to_one
BR001150,JV003635,one_to_one
BR001151,JV003647,one_to_one
BR001152,JV003607,one_to_one
BR001153,JV003601,one_to_one
BR001154,JV003636,one_to_one
BR001155,JV003605,one_to_one
BR001156,JV003639,one_to_one
BR001157,JV003666,one_to_one
BR001158,JV003638,one_to_one
BR001159,JV003665,one_to_one
BR001160,JV003616,one_to_one
BR001161,JV003626,one_to_one
BR001162,JV003627,one_to_one
BR001163,JV003637,one_to_one
BR001164,JV003634,one_to_one
BR001165,JV003623,one_to_one
BR001166,JV003614,one_to_one
BR001167,JV003625,one_to_one
BR001168,JV003631,one_to_one
BR001169,JV003667,one_to_one
BR001170,JV003663,one_to_one
BR001171,JV003679,one_to_one
BR001172,JV003682,one_to_one
BR001173,JV003672,one_to_one
BR001174,JV003645,one_to_one
BR001175,JV003646,one_to_one
BR001176,JV003613,one_to_many
BR001176,JV003619,one_to_many
BR001176,JV003624,one_to_many
BR001177,JV003659,one_to_one
BR001178,JV003703,one_to_one
BR001179,JV003692,one_to_one
BR001180,JV003677,one_to_one
BR001181,JV003604,one_to_one
BR001182,JV003612,one_to_one
BR001183,JV003617,one_to_one
BR001184,JV003644,one_to_one
BR001185,JV003690,one_to_one
BR001186,JV003710,one_to_one
BR001187,JV003718,one_to_one
BR001188,JV003725,one_to_one
BR001189,JV003711,one_to_one
BR001190,JV003727,one_to_one
BR001191,JV003721,one_to_one
BR001192,JV003722,one_to_one
BR001193,JV003726,one_to_one
BR001194,JV003732,one_to_one
BR001195,JV003731,one_to_one
BR001196,JV003717,one_to_one
BR001197,JV003674,one_to_one
BR001198,JV003746,one_to_one
BR001199,JV003737,one_to_one
BR001200,JV003752,one_to_one
BR001201,JV003744,one_to_one
BR001202,JV003762,one_to_one
BR001203,JV003742,one_to_one
BR001204,JV003741,one_to_one
BR001205,JV003761,one_to_one
BR001206,JV003735,one_to_one
BR001207,JV003790,one_to_one
BR001208,JV003780,one_to_one
BR001209,JV003771,one_to_one
BR001210,JV003796,one_to_one
BR001211,JV003738,one_to_one
BR001212,JV003802,one_to_one
BR001213,JV003786,one_to_one
BR001214,JV003804,one_to_one
BR001215,JV003818,one_to_one
BR001216,JV003810,one_to_one
BR001217,JV003833,one_to_one
BR001218,JV003837,one_to_one
BR001219,JV003814,one_to_one
BR001220,JV003820,one_to_one
BR001221,JV003822,one_to_one
BR001222,JV003836,one_to_one
BR001223,JV003830,one_to_one
BR001224,JV003834,one_to_one
BR001225,JV003785,one_to_one
BR001226,JV003835,one_to_one
BR001227,JV003832,one_to_one
BR001228,JV003824,one_to_one
BR001229,JV003806,one_to_one
BR001230,JV003840,one_to_one
BR001231,JV003827,one_to_one
BR001232,JV003856,one_to_one
BR001233,JV003844,one_to_one
BR001234,JV003849,one_to_one
BR001235,JV003881,one_to_one
BR001236,JV003854,one_to_one
BR001237,JV003846,one_to_one
BR001238,JV003857,one_to_one
BR001239,JV003875,one_to_one
BR001240,JV003860,one_to_one
BR001241,JV003842,one_to_one
BR001242,JV003888,one_to_one
BR001243,JV003880,one_to_one
BR001244,JV003868,one_to_one
BR001245,JV003895,one_to_one
BR001246,JV003878,one_to_one
BR001247,JV003890,one_to_one
BR001248,JV003867,one_to_one
BR001249,JV003884,one_to_one
BR001250,JV003863,one_to_one
BR001251,JV003885,one_to_one
BR001252,JV003877,one_to_one
BR001253,JV003852,one_to_one
BR001254,JV003893,one_to_one
BR001255,JV003919,one_to_one
BR001256,JV003936,one_to_one
BR001257,JV003894,one_to_one
BR001258,JV003886,one_to_one
BR001259,JV003914,one_to_one
BR001260,JV003887,one_to_one
BR001261,JV003900,one_to_one
BR001262,JV003929,one_to_one
BR001263,JV003945,one_to_one
BR001264,JV003925,one_to_one
BR001265,JV003912,one_to_one
BR001266,JV003911,one_to_one
BR001267,JV003940,one_to_one
BR001268,JV003950,one_to_one
BR001269,JV003949,one_to_one
BR001270,JV003941,one_to_one
BR001271,JV003952,one_to_one
BR001272,JV003953,one_to_one
BR001273,JV003918,one_to_one
BR001274,JV003922,one_to_one
BR001275,JV003938,one_to_one
BR001276,JV003939,one_to_one
BR001277,JV003947,one_to_one
BR001278,JV003973,one_to_one
BR001279,JV003956,one_to_one
BR001280,JV003979,one_to_one
BR001281,JV003983,one_to_one
BR001282,JV003951,one_to_one
BR001283,JV003976,one_to_one
BR001284,JV003963,one_to_one
BR001285,JV003962,one_to_one
BR001286,JV003995,one_to_one
BR001287,JV003980,one_to_one
BR001288,JV003964,one_to_one
BR001289,JV003997,one_to_one
BR001290,JV003974,one_to_one
BR001291,JV004004,one_to_one
BR001292,JV003988,one_to_one
BR001293,JV003984,one_to_one
BR001294,JV003965,one_to_one
BR001295,JV004020,one_to_one
BR001296,JV003994,one_to_one
BR001297,JV003971,one_to_one
BR001298,JV004024,one_to_one
BR001299,JV004022,one_to_one
BR001300,JV004008,one_to_one
BR001301,JV004039,one_to_one
BR001302,JV004044,one_to_one
BR001303,JV004034,one_to_one
BR001304,JV004042,one_to_one
BR001305,JV004040,one_to_one
BR001306,JV004061,one_to_one
BR001307,JV004030,one_to_one
BR001308,JV004078,one_to_one
BR001309,JV004031,one_to_one
BR001310,JV004000,one_to_one
BR001311,JV004038,one_to_one
BR001312,JV004054,one_to_one
BR001313,JV004065,one_to_one
BR001314,JV004051,one_to_one
BR001315,JV004068,one_to_one
BR001316,JV004088,one_to_one
BR001317,JV004080,one_to_one
BR001318,JV004100,one_to_one
BR001319,JV004082,one_to_one
BR001320,JV004094,one_to_one
BR001321,JV004058,one_to_one
BR001322,JV004067,one_to_one
BR001323,JV004107,one_to_one
BR001324,JV004090,one_to_one
BR001325,JV004096,one_to_one
BR001326,JV004095,one_to_one
BR001327,JV004104,one_to_one
BR001328,JV004126,one_to_one
BR001329,JV004118,one_to_one
BR001330,JV004120,one_to_one
BR001331,JV004124,one_to_one
BR001332,JV004116,one_to_one
BR001333,JV004083,one_to_one
BR001334,JV004161,one_to_one
BR001335,JV004153,one_to_one
BR001336,JV004146,one_to_one
BR001337,JV004152,one_to_one
BR001338,JV004162,one_to_one
BR001339,JV004156,one_to_one
BR001340,JV004148,one_to_one
BR001341,JV004160,one_to_one
BR001342,JV004137,one_to_one
BR001343,JV004139,one_to_one
BR001344,JV004132,one_to_one
BR001345,JV004133,one_to_one
BR001346,JV004157,one_to_one
BR001347,JV004166,one_to_one
BR001348,JV004169,one_to_one
BR001349,JV004135,one_to_one
BR001350,JV004147,one_to_one
BR001351,JV004142,one_to_one
BR001352,JV004140,one_to_one
BR001353,JV004165,one_to_one
BR001354,JV004164,one_to_one
BR001355,JV004134,one_to_one
BR001356,JV004158,one_to_one
BR001357,JV004186,one_to_one
BR001358,JV004183,one_to_one
BR001359,JV004181,one_to_one
BR001360,JV004191,one_to_one
BR001361,JV004193,one_to_one
BR001362,JV004201,one_to_one
BR001363,JV004223,one_to_one
BR001364,JV004195,one_to_one
BR001365,JV004197,one_to_one
BR001366,JV004217,one_to_one
BR001367,JV004189,one_to_one
BR001368,JV004218,one_to_one
BR001369,JV004206,one_to_one
BR001370,JV004214,one_to_one
BR001371,JV004253,one_to_one
BR001372,JV004234,one_to_one
BR001373,JV004252,one_to_one
BR001374,JV004235,one_to_one
BR001375,JV004230,one_to_one
BR001376,JV004263,one_to_one
BR001377,JV004228,one_to_one
BR001378,JV004265,one_to_one
BR001379,JV004242,one_to_one
BR001380,JV004243,one_to_one
BR001381,JV004268,one_to_one
BR001382,JV004247,one_to_one
BR001383,JV004261,one_to_one
BR001384,JV004262,one_to_one
BR001385,JV004250,one_to_one
BR001386,JV004241,one_to_one
BR001387,JV004269,one_to_one
BR001388,JV004285,one_to_one
BR001389,JV004281,one_to_one
BR001390,JV004229,one_to_one
BR001391,JV004232,one_to_one
BR001392,JV004236,one_to_one
BR001393,JV004254,one_to_one
BR001394,JV004238,one_to_one
BR001395,JV004251,one_to_one
BR001396,JV004245,one_to_one
BR001397,JV004237,one_to_one
BR001398,JV004280,one_to_one
BR001399,JV004260,one_to_one
BR001400,JV004277,one_to_one
BR001401,JV004264,one_to_one
BR001402,JV004267,one_to_one
BR001403,JV004283,one_to_one
BR001404,JV004294,one_to_one
BR001405,JV004249,one_to_one
BR001406,JV004266,one_to_one
BR001407,JV004300,one_to_one
BR001408,JV004308,one_to_one
BR001409,JV004297,one_to_one
BR001410,JV004309,one_to_one
BR001411,JV004322,one_to_one
BR001412,JV004320,one_to_one
BR001413,JV004337,one_to_one
BR001414,JV004334,one_to_one
BR001415,JV004356,one_to_one
BR001416,JV004346,one_to_one
BR001417,JV004353,one_to_one
BR001418,JV004304,one_to_one
BR001419,JV004316,one_to_one
BR001420,JV004321,one_to_one
BR001421,JV004331,one_to_one
BR001422,JV004358,one_to_one
BR001423,JV004323,one_to_one
BR001424,JV004371,one_to_one
BR001425,JV004378,one_to_one
BR001426,JV004405,one_to_one
BR001427,JV004387,one_to_one
BR001428,JV004396,one_to_one
BR001429,JV004395,one_to_one
BR001430,JV004416,one_to_one
BR001431,JV004341,one_to_one
BR001432,JV004410,one_to_one
BR001433,JV004389,one_to_one
BR001434,JV004325,one_to_one
BR001435,JV004372,one_to_one
BR001436,JV004409,one_to_one
BR001437,JV004400,one_to_one
BR001438,JV004404,one_to_one
BR001439,JV004379,one_to_one
BR001440,JV004406,one_to_one
BR001441,JV004397,one_to_one
BR001442,JV004388,one_to_one
BR001443,JV004394,one_to_one
BR001444,JV004382,one_to_one
BR001445,JV004446,one_to_one
BR001446,JV004430,one_to_one
BR001447,JV004429,one_to_one
BR001448,JV004425,one_to_one
BR001449,JV004436,one_to_one
BR001450,JV004432,one_to_one
BR001451,JV004441,one_to_one
BR001452,JV004431,one_to_one
BR001453,JV004420,one_to_one
BR001454,JV004435,one_to_one
BR001455,JV004424,one_to_one
BR001456,JV004454,one_to_one
BR001457,JV004443,one_to_one
BR001458,JV004426,one_to_one
BR001459,JV004451,one_to_one
BR001460,JV004419,one_to_one
BR001461,JV004452,one_to_one
BR001462,JV004491,one_to_one
BR001463,JV004483,one_to_one
BR001464,JV004497,one_to_one
BR001465,JV004468,one_to_one
BR001466,JV004499,one_to_one
BR001467,JV004486,one_to_one
BR001468,JV004503,one_to_one
BR001469,JV004517,one_to_one
BR001470,JV004514,one_to_one
BR001471,JV004536,amount_difference
BR001472,JV004509,one_to_one
BR001473,JV004525,one_to_one
BR001474,JV004501,one_to_one
BR001475,JV004545,one_to_one
BR001476,JV004515,one_to_one
BR001477,JV004537,one_to_one
BR001478,JV004538,one_to_one
BR001479,JV004511,one_to_one
BR001480,JV004528,one_to_one
BR001481,JV004521,one_to_one
BR001482,JV004513,one_to_many
BR001482,JV004530,one_to_many
BR001482,JV004541,one_to_many
BR001482,JV004543,one_to_many
BR001483,JV004531,one_to_one
BR001484,JV004474,one_to_one
BR001485,JV004526,one_to_one
BR001486,JV004540,one_to_one
BR001487,JV004519,one_to_one
BR001488,JV004539,one_to_one
BR001489,JV004534,one_to_one
BR001490,JV004510,one_to_one
BR001491,JV004558,one_to_one
BR001492,JV004564,one_to_one
BR001493,JV004563,one_to_one
BR001494,JV004554,one_to_one
BR001495,JV004549,one_to_one
BR001496,JV004508,one_to_one
BR001497,JV004544,one_to_one
BR001498,JV004518,one_to_one
BR001499,JV004559,one_to_one
BR001500,JV004557,one_to_one
BR001501,JV004578,one_to_one
BR001502,JV004579,one_to_one
BR001503,JV004552,one_to_one
BR001504,JV004570,one_to_one
BR001505,JV004577,one_to_one
BR001506,JV004593,one_to_one
BR001507,JV004571,one_to_one
BR001508,JV004568,one_to_one
BR001509,JV004598,one_to_one
BR001510,JV004581,one_to_one
BR001511,JV004611,one_to_one
BR001512,JV004613,one_to_one
BR001513,JV004555,one_to_one
BR001514,JV004551,one_to_one
BR001515,JV004610,one_to_one
BR001516,JV004633,one_to_one
BR001517,JV004618,one_to_one
BR001518,JV004629,one_to_one
BR001519,JV004612,one_to_one
BR001520,JV004600,one_to_one
BR001521,JV004625,one_to_one
BR001522,JV004648,one_to_one
BR001523,JV004641,one_to_one
BR001524,JV004643,one_to_one
BR001525,JV004615,one_to_one
BR001526,JV004623,one_to_one
BR001527,JV004634,one_to_one
BR001528,JV004672,one_to_one
BR001529,JV004660,one_to_one
BR001530,JV004659,one_to_one
BR001531,JV004655,one_to_one
BR001532,JV004650,one_to_one
BR001533,JV004657,one_to_one
BR001534,JV004653,one_to_one
BR001535,JV004644,one_to_one
BR001536,JV004677,one_to_one
BR001537,JV004683,one_to_one
BR001538,JV004690,one_to_one
BR001539,JV004688,one_to_one
BR001540,JV004692,one_to_one
BR001541,JV004686,one_to_one
BR001542,JV004693,one_to_one
BR001543,JV004731,one_to_one
BR001544,JV004705,one_to_one
BR001545,JV004709,one_to_one
BR001546,JV004710,one_to_one
BR001547,JV004684,one_to_one
BR001548,JV004722,one_to_one
BR001549,JV004721,one_to_one
BR001550,JV004730,one_to_one
BR001551,JV004734,one_to_one
BR001552,JV004780,one_to_one
BR001553,JV004770,one_to_one
BR001554,JV004765,one_to_one
BR001555,JV004768,one_to_one
BR001556,JV004746,one_to_one
BR001557,JV004773,one_to_one
BR001558,JV004790,one_to_one
BR001559,JV004791,one_to_one
BR001560,JV004782,one_to_one
BR001561,JV004805,one_to_one
BR001562,JV004787,one_to_one
BR001563,JV004798,one_to_one
BR001564,JV004797,one_to_one
BR001565,JV004799,one_to_one
BR001566,JV004810,one_to_one
BR001567,JV004795,one_to_one
BR001568,JV004807,one_to_one
BR001569,JV004811,one_to_one
BR001570,JV004816,one_to_one
BR001571,JV004837,one_to_one
BR001572,JV004809,one_to_one
BR001573,JV004824,one_to_one
BR001574,JV004812,one_to_one
BR001575,JV004814,one_to_one
BR001576,JV004838,one_to_one
BR001577,JV004841,one_to_one
BR001578,JV004842,one_to_one
BR001579,JV004830,one_to_one
BR001580,JV004855,one_to_one
BR001581,JV004848,one_to_one
BR001582,JV004866,one_to_one
BR001583,JV004867,one_to_one
BR001584,JV004846,one_to_one
BR001585,JV004865,one_to_one
BR001586,JV004857,one_to_one
BR001587,JV004852,one_to_one
BR001588,JV004847,one_to_one
BR001589,JV004900,one_to_one
BR001590,JV004883,one_to_one
BR001591,JV004882,one_to_one
BR001592,JV004891,one_to_one
BR001593,JV004902,one_to_one
BR001594,JV004896,one_to_one
BR001595,JV004879,one_to_one
BR001596,JV004908,one_to_one
BR001597,JV004912,one_to_one
BR001598,JV004881,one_to_one
BR001599,JV004943,one_to_one
BR001600,JV004932,one_to_one
BR001601,JV004930,one_to_one
BR001602,JV004910,one_to_one
BR001603,JV004889,one_to_one
BR001604,JV004913,one_to_one
BR001605,JV004938,one_to_one
BR001606,JV004966,one_to_one
BR001607,JV004950,one_to_one
BR001608,JV004899,one_to_one
BR001609,JV004898,one_to_one
BR001610,JV004922,one_to_one
BR001611,JV004920,one_to_one
BR001612,JV004984,one_to_one
BR001613,JV004960,one_to_one
BR001614,JV004987,one_to_one
BR001615,JV004985,one_to_one
BR001616,JV004982,one_to_one
BR001617,JV004977,one_to_one
BR001618,JV004975,one_to_one
BR001619,JV004962,one_to_one
BR001620,JV004976,one_to_one
BR001621,JV004989,one_to_one
BR001622,JV004996,one_to_one
BR001623,JV005032,one_to_one
BR001624,JV005048,one_to_one
BR001625,JV005050,one_to_one
BR001626,JV005015,one_to_one
BR001627,JV004993,one_to_one
BR001628,JV004998,one_to_one
BR001629,JV005047,one_to_one
BR001630,JV005065,one_to_one
BR001631,JV005057,one_to_one
BR001632,JV005074,one_to_one
BR001633,JV005033,one_to_one
BR001634,JV005049,one_to_one
BR001635,JV005034,one_to_one
BR001636,JV005052,one_to_one
BR001637,JV005028,one_to_one
BR001638,JV005037,one_to_one
BR001639,JV005019,one_to_one
BR001640,JV005042,one_to_one
BR001641,JV005027,one_to_one
BR001642,JV005039,one_to_one
BR001643,JV005017,one_to_one
BR001644,JV005000,one_to_one
BR001645,JV005063,one_to_one
BR001646,JV005091,one_to_one
BR001647,JV005078,one_to_one
BR001648,JV005061,one_to_one
BR001649,JV005031,one_to_one
BR001650,JV005030,one_to_one
BR001651,JV005018,one_to_one
BR001652,JV005022,one_to_one
BR001653,JV005024,one_to_one
BR001654,JV005084,one_to_one
BR001655,JV005056,one_to_one
BR001656,JV005023,one_to_one
BR001657,JV005013,one_to_one
BR001658,JV005080,one_to_one
BR001659,JV005071,one_to_one
BR001660,JV005101,one_to_one
BR001661,JV005119,one_to_one
BR001662,JV005113,one_to_one
BR001663,JV005122,one_to_one
BR001664,JV005117,one_to_one
BR001665,JV005107,one_to_one
BR001666,JV005157,one_to_one
BR001667,JV005141,one_to_one
BR001668,JV005153,one_to_one
BR001669,JV005135,one_to_one
BR001670,JV005156,one_to_one
BR001671,JV005148,one_to_one
BR001672,JV005174,one_to_one
BR001673,JV005131,one_to_one
BR001674,JV005155,one_to_one
BR001675,JV005219,one_to_one
BR001676,JV005188,one_to_one
BR001677,JV005165,one_to_one
BR001678,JV005198,one_to_one
BR001679,JV005236,one_to_one
BR001680,JV005226,one_to_one
BR001681,JV005138,one_to_one
BR001682,JV005195,one_to_one
BR001683,JV005179,one_to_one
BR001684,JV005212,one_to_one
BR001685,JV005154,one_to_one
BR001686,JV005250,one_to_one
BR001687,JV005233,one_to_one
BR001688,JV005269,one_to_one
BR001689,JV005182,one_to_one
BR001690,JV005164,one_to_one
BR001691,JV005243,one_to_one
BR001692,JV005208,one_to_one
BR001693,JV005176,one_to_one
BR001694,JV005258,one_to_one
BR001695,JV005265,one_to_one
BR001696,JV005244,one_to_one
BR001697,JV005277,one_to_one
BR001698,JV005239,one_to_one
BR001699,JV005245,one_to_one
BR001700,JV005284,one_to_one
BR001701,JV005285,one_to_one
BR001702,JV005305,one_to_one
BR001703,JV005294,one_to_one
BR001704,JV005302,one_to_one
BR001705,JV005293,one_to_one
BR001706,JV005317,one_to_one
BR001707,JV005327,one_to_one
BR001708,JV005289,one_to_one
BR001709,JV005300,one_to_one
BR001710,JV005322,one_to_one
BR001711,JV005332,one_to_one
BR001712,JV005319,one_to_one
BR001713,JV005338,one_to_one
BR001714,JV005313,one_to_one
BR001715,JV005328,one_to_one
BR001716,JV005345,one_to_one
BR001717,JV005318,one_to_one
BR001718,JV005316,one_to_one
BR001719,JV005315,one_to_one
BR001720,JV005368,one_to_one
BR001721,JV005356,one_to_one
BR001722,JV005335,one_to_one
BR001723,JV005337,one_to_one
BR001724,JV005331,one_to_one
BR001725,JV005366,one_to_one
BR001726,JV005288,one_to_one
BR001727,JV005326,one_to_one
